name,symbol,description,parcellation_term_set_label,parcellation_terminology_label,parcellation_term_identifier,parcellation_term_order,parcellation_parent_term_set_label,parcellation_parent_term_identifier
neural plate,NP,neural plate,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10153,0,,
neural tube,NT,neural tube,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10154,1,ADHBA_Terminology_2016_All,DHBA:10153
brain,Br,brain,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10155,2,ADHBA_Terminology_2016_All,DHBA:10154
forebrain (prosencephalon),F,forebrain (prosencephalon),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10156,3,ADHBA_Terminology_2016_All,DHBA:10155
gray matter of forebrain,FGM,gray matter of forebrain,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10157,4,ADHBA_Terminology_2016_All,DHBA:10156
transient structures of forebrain,FTS,transient structures of forebrain,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10506,5,ADHBA_Terminology_2016_All,DHBA:10157
subpial granular zone,SG,subpial granular zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11580,6,ADHBA_Terminology_2016_All,DHBA:10506
SG in frontal neocortex,fSG,SG in frontal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11581,7,ADHBA_Terminology_2016_All,DHBA:11580
SG in frontal polar cortex,fSGfp,SG in frontal polar cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11587,8,ADHBA_Terminology_2016_All,DHBA:11581
SG in dorsomedial frontal cortex,fSGdm,SG in dorsomedial frontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11582,9,ADHBA_Terminology_2016_All,DHBA:11581
SG in dorsolateral prefrontal cortex,fSGdl,SG in dorsolateral prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11585,10,ADHBA_Terminology_2016_All,DHBA:11581
SG in ventrolateral prefrontal cortex,fSGvl,SG in ventrolateral prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11586,11,ADHBA_Terminology_2016_All,DHBA:11581
SG in orbital frontal cortex,fSGor,SG in orbital frontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11583,12,ADHBA_Terminology_2016_All,DHBA:11581
SG in posterior frontal cortex (motor cortex),fSGm1,SG in posterior frontal cortex (motor cortex),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11584,13,ADHBA_Terminology_2016_All,DHBA:11581
SG in parietal neocortex,pSG,SG in parietal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11593,14,ADHBA_Terminology_2016_All,DHBA:11580
SG in primary somatosensory cortex,pSGs1,SG in primary somatosensory cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11594,15,ADHBA_Terminology_2016_All,DHBA:11593
SG in dorsomedial parietal cortex (area 7m),pSGdm,SG in dorsomedial parietal cortex (area 7m),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11597,16,ADHBA_Terminology_2016_All,DHBA:11593
SG in posterosuperior (dorsal) parietal cortex,pSGpd,SG in posterosuperior (dorsal) parietal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11595,17,ADHBA_Terminology_2016_All,DHBA:11593
SG in posteroinferior (ventral) parietal cortex,pSGpv,SG in posteroinferior (ventral) parietal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11596,18,ADHBA_Terminology_2016_All,DHBA:11593
SG in temporal neocortex,tSG,SG in temporal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11598,19,ADHBA_Terminology_2016_All,DHBA:11580
SG in dorsolateral temporal cortex,tSGdl,SG in dorsolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:15498,20,ADHBA_Terminology_2016_All,DHBA:11598
SG in primary auditory cortex,tSGa1,SG in primary auditory cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11599,21,ADHBA_Terminology_2016_All,DHBA:15498
